PageRank Results for MACROS in adaptec1
======================================================================
Total macros: 543
Area threshold: 1000
Damping factor: 0.85
======================================================================

Rank     Macro                          PageRank        Width      Height     Area        
-----------------------------------------------------------------------------------------------
1        o210929                        0.03819769      340.0      204.0      69360.0     
2        o210928                        0.03013399      572.0      1008.0     576576.0    
3        o210925                        0.00640301      164.0      2136.0     350304.0    
4        o211422                        0.00605180      80.0       1020.0     81600.0     
5        o210927                        0.00561012      701.0      2856.0     2002056.0   
6        o210924                        0.00558557      164.0      2136.0     350304.0    
7        o211423                        0.00522300      511.0      2136.0     1091496.0   
8        o211427                        0.00504325      511.0      2136.0     1091496.0   
9        o210919                        0.00479280      80.0       1044.0     83520.0     
10       o210911                        0.00417873      164.0      2136.0     350304.0    
11       o210915                        0.00405533      1206.0     2856.0     3444336.0   
12       o211444                        0.00399190      1048.0     816.0      855168.0    
13       o210904                        0.00397461      500.0      2136.0     1068000.0   
14       o211445                        0.00396893      1048.0     816.0      855168.0    
15       o211438                        0.00378072      164.0      2136.0     350304.0    
16       o211414                        0.00321181      140.0      2172.0     304080.0    
17       o211418                        0.00320184      140.0      2172.0     304080.0    
18       o210908                        0.00311507      500.0      2136.0     1068000.0   
19       o211415                        0.00303153      108.0      2136.0     230688.0    
20       o211419                        0.00302156      108.0      2136.0     230688.0    
21       o210916                        0.00293538      1206.0     2856.0     3444336.0   
22       o210922                        0.00290829      276.0      2196.0     606096.0    
23       o210906                        0.00274976      500.0      2136.0     1068000.0   
24       o211188                        0.00272406      432.0      72.0       31104.0     
25       o211314                        0.00272406      432.0      72.0       31104.0     
26       o211208                        0.00272406      432.0      72.0       31104.0     
27       o211368                        0.00272406      432.0      72.0       31104.0     
28       o211366                        0.00272406      432.0      72.0       31104.0     
29       o211200                        0.00272150      432.0      72.0       31104.0     
30       o210930                        0.00271933      516.0      1692.0     873072.0    
31       o210913                        0.00268645      500.0      2136.0     1068000.0   
32       o211197                        0.00262670      432.0      72.0       31104.0     
33       o211196                        0.00262670      72.0       432.0      31104.0     
34       o211435                        0.00256179      164.0      2136.0     350304.0    
35       o211437                        0.00250096      164.0      2136.0     350304.0    
36       o211428                        0.00242563      511.0      2136.0     1091496.0   
37       o211429                        0.00239513      511.0      2136.0     1091496.0   
38       o211431                        0.00236231      276.0      2136.0     589536.0    
39       o210920                        0.00230280      276.0      2196.0     606096.0    
40       o210912                        0.00225846      164.0      2136.0     350304.0    
41       o211424                        0.00223735      511.0      2136.0     1091496.0   
42       o211439                        0.00223333      164.0      2136.0     350304.0    
43       o211030                        0.00220746      72.0       432.0      31104.0     
44       o211042                        0.00220702      72.0       432.0      31104.0     
45       o211036                        0.00213562      72.0       432.0      31104.0     
46       o211041                        0.00210905      72.0       432.0      31104.0     
47       o211043                        0.00210905      72.0       432.0      31104.0     
48       o211132                        0.00209817      72.0       432.0      31104.0     
49       o211125                        0.00209817      72.0       432.0      31104.0     
50       o211127                        0.00209817      72.0       432.0      31104.0     
51       o211204                        0.00209817      72.0       432.0      31104.0     
52       o211133                        0.00209817      72.0       432.0      31104.0     
53       o211129                        0.00209817      72.0       432.0      31104.0     
54       o211203                        0.00209817      72.0       432.0      31104.0     
55       o211143                        0.00209817      72.0       432.0      31104.0     
56       o211124                        0.00209817      432.0      72.0       31104.0     
57       o211137                        0.00209817      72.0       432.0      31104.0     
58       o211051                        0.00208674      72.0       432.0      31104.0     
59       o211032                        0.00204316      72.0       432.0      31104.0     
60       o211212                        0.00203207      432.0      72.0       31104.0     
61       o211236                        0.00203207      72.0       432.0      31104.0     
62       o211246                        0.00203207      72.0       432.0      31104.0     
63       o211254                        0.00203207      72.0       432.0      31104.0     
64       o211274                        0.00203207      72.0       432.0      31104.0     
65       o211286                        0.00203207      72.0       432.0      31104.0     
66       o211299                        0.00203207      72.0       432.0      31104.0     
67       o211298                        0.00203207      72.0       432.0      31104.0     
68       o211224                        0.00203207      72.0       432.0      31104.0     
69       o211276                        0.00203207      72.0       432.0      31104.0     
70       o211264                        0.00203207      72.0       432.0      31104.0     
71       o211256                        0.00203207      72.0       432.0      31104.0     
72       o211284                        0.00203207      72.0       432.0      31104.0     
73       o211223                        0.00203207      72.0       432.0      31104.0     
74       o211213                        0.00203207      432.0      72.0       31104.0     
75       o211266                        0.00203207      72.0       432.0      31104.0     
76       o211234                        0.00203207      72.0       432.0      31104.0     
77       o211235                        0.00203207      72.0       432.0      31104.0     
78       o211225                        0.00203207      72.0       432.0      31104.0     
79       o211244                        0.00203207      72.0       432.0      31104.0     
80       o211034                        0.00201703      72.0       432.0      31104.0     
81       o211433                        0.00200499      80.0       2136.0     170880.0    
82       o211046                        0.00196958      432.0      72.0       31104.0     
83       o211150                        0.00193309      72.0       432.0      31104.0     
84       o211149                        0.00193309      72.0       432.0      31104.0     
85       o211183                        0.00193054      72.0       432.0      31104.0     
86       o211037                        0.00192473      72.0       432.0      31104.0     
87       o211026                        0.00192287      72.0       432.0      31104.0     
88       o211412                        0.00192249      792.0      1008.0     798336.0    
89       o211282                        0.00191847      72.0       432.0      31104.0     
90       o211272                        0.00191847      72.0       432.0      31104.0     
91       o211210                        0.00191847      432.0      72.0       31104.0     
92       o211252                        0.00191847      72.0       432.0      31104.0     
93       o211296                        0.00191847      432.0      72.0       31104.0     
94       o211242                        0.00191847      72.0       432.0      31104.0     
95       o211262                        0.00191847      72.0       432.0      31104.0     
96       o210905                        0.00191015      500.0      2136.0     1068000.0   
97       o211292                        0.00190242      72.0       432.0      31104.0     
98       o211170                        0.00188955      72.0       432.0      31104.0     
