PageRank Results for adaptec1
============================================================
Total components: 211447
Damping factor: 0.85
============================================================

Rank     Component                      PageRank Score 
------------------------------------------------------------
1        o211438                        0.00056944     
2        o211439                        0.00055958     
3        o108053                        0.00043191     
4        o211431                        0.00031946     
5        o211436                        0.00031888     
6        o211432                        0.00031882     
7        o107868                        0.00031326     
8        o211435                        0.00031243     
9        o211427                        0.00029537     
10       o211430                        0.00029402     
11       o211428                        0.00028815     
12       o211429                        0.00028777     
13       o210908                        0.00028119     
14       o210909                        0.00026872     
15       o210906                        0.00026020     
16       o210905                        0.00025579     
17       o210907                        0.00023775     
18       o211413                        0.00023274     
19       o34601                         0.00022369     
20       o210904                        0.00022304     
21       o210912                        0.00022174     
22       o210911                        0.00022138     
23       o210921                        0.00021745     
24       o6175                          0.00020862     
25       o29767                         0.00020840     
26       o17837                         0.00020837     
27       o34596                         0.00020487     
28       o105657                        0.00019049     
29       o34599                         0.00018794     
30       o34602                         0.00018547     
31       o210922                        0.00018068     
32       o107948                        0.00017914     
33       o107947                        0.00017703     
34       o108054                        0.00017553     
35       o105662                        0.00017500     
36       o210913                        0.00017493     
37       o210914                        0.00017372     
38       o211412                        0.00017315     
39       o210923                        0.00016998     
40       o34597                         0.00016895     
41       o34598                         0.00016749     
42       o58790                         0.00016552     
43       o210920                        0.00016311     
44       o211433                        0.00015076     
45       o211441                        0.00015007     
46       o65507                         0.00014302     
47       o12010                         0.00014265     
48       o65515                         0.00014012     
49       o65514                         0.00013671     
50       o65551                         0.00013662     
51       o65510                         0.00013469     
52       o65553                         0.00013453     
53       o65506                         0.00013407     
54       o210931                        0.00013401     
55       o65511                         0.00013376     
56       o65509                         0.00013368     
57       o65516                         0.00013308     
58       o65552                         0.00013283     
59       o65550                         0.00013248     
60       o65517                         0.00013179     
61       o119433                        0.00013164     
62       o65513                         0.00013150     
63       o84205                         0.00013097     
64       o136205                        0.00013094     
65       o65508                         0.00013066     
66       o79110                         0.00013059     
67       o65512                         0.00012997     
68       o63660                         0.00012705     
