PageRank Results for MACROS in bigblue1
======================================================================
Total macros: 560
Area threshold: 1000
Damping factor: 0.85
======================================================================

Rank     Macro                          PageRank        Width      Height     Area        
-----------------------------------------------------------------------------------------------
1        o278144                        0.00431768      276.0      1968.0     543168.0    
2        o278150                        0.00399434      500.0      2196.0     1098000.0   
3        o278161                        0.00397603      1048.0     816.0      855168.0    
4        o278162                        0.00395435      1048.0     816.0      855168.0    
5        o278142                        0.00384870      500.0      2196.0     1098000.0   
6        o278146                        0.00353040      500.0      2196.0     1098000.0   
7        o277609                        0.00348217      72.0       432.0      31104.0     
8        o278133                        0.00319368      500.0      2136.0     1068000.0   
9        o278132                        0.00319368      332.0      1044.0     346608.0    
10       o277652                        0.00271377      432.0      72.0       31104.0     
11       o277651                        0.00271377      432.0      72.0       31104.0     
12       o277642                        0.00271377      432.0      72.0       31104.0     
13       o277666                        0.00271377      72.0       432.0      31104.0     
14       o277655                        0.00271377      72.0       432.0      31104.0     
15       o277641                        0.00271377      432.0      72.0       31104.0     
16       o277625                        0.00271377      432.0      72.0       31104.0     
17       o277616                        0.00270930      432.0      72.0       31104.0     
18       o278148                        0.00260691      276.0      1968.0     543168.0    
19       o278152                        0.00260556      276.0      1968.0     543168.0    
20       o278138                        0.00254736      500.0      2196.0     1098000.0   
21       o278140                        0.00253773      276.0      1968.0     543168.0    
22       o278145                        0.00249171      276.0      1968.0     543168.0    
23       o278157                        0.00241528      108.0      1020.0     110160.0    
24       o278151                        0.00215916      500.0      2196.0     1098000.0   
25       o277647                        0.00209022      72.0       432.0      31104.0     
26       o277740                        0.00209022      432.0      72.0       31104.0     
27       o277660                        0.00209022      432.0      72.0       31104.0     
28       o277864                        0.00209022      72.0       432.0      31104.0     
29       o277736                        0.00209022      432.0      72.0       31104.0     
30       o277658                        0.00209022      432.0      72.0       31104.0     
31       o277645                        0.00209022      432.0      72.0       31104.0     
32       o277725                        0.00209022      432.0      72.0       31104.0     
33       o277730                        0.00209022      72.0       432.0      31104.0     
34       o277728                        0.00209022      72.0       432.0      31104.0     
35       o277866                        0.00209022      432.0      72.0       31104.0     
36       o277737                        0.00209022      432.0      72.0       31104.0     
37       o278143                        0.00208034      500.0      2196.0     1098000.0   
38       o278135                        0.00198072      164.0      1044.0     171216.0    
39       o278154                        0.00192182      500.0      2196.0     1098000.0   
40       o278147                        0.00190822      500.0      2196.0     1098000.0   
41       o278139                        0.00190822      500.0      2196.0     1098000.0   
42       o277986                        0.00188237      432.0      72.0       31104.0     
43       o277871                        0.00188237      432.0      72.0       31104.0     
