PageRank Results for bigblue1
============================================================
Total components: 278164
Damping factor: 0.85
============================================================

Rank     Component                      PageRank Score 
------------------------------------------------------------
1        o278133                        0.00060439     
2        o278155                        0.00040502     
3        o278149                        0.00035893     
4        o278148                        0.00035669     
5        o278140                        0.00035642     
6        o278145                        0.00035287     
7        o278144                        0.00035148     
8        o278141                        0.00035124     
9        o278152                        0.00034872     
10       o278153                        0.00034732     
11       o278138                        0.00033878     
12       o278154                        0.00030165     
13       o278139                        0.00028689     
14       o278150                        0.00024607     
15       o278146                        0.00022640     
16       o278142                        0.00022018     
17       o278134                        0.00017649     
18       o278132                        0.00015696     
19       o278151                        0.00014186     
20       o112861                        0.00013761     
21       o117525                        0.00013756     
22       o98946                         0.00013752     
23       o108225                        0.00013751     
24       o103589                        0.00013751     
25       o278147                        0.00012969     
26       o278143                        0.00011944     
27       o99310                         0.00010757     
28       o103952                        0.00010730     
29       o108589                        0.00010608     
30       o117887                        0.00010605     
31       o113224                        0.00010551     
32       o223897                        0.00009789     
33       o223913                        0.00009735     
34       o223889                        0.00009716     
35       o223921                        0.00009716     
36       o223905                        0.00009703     
37       o217677                        0.00009701     
38       o242469                        0.00009682     
39       o242485                        0.00009682     
40       o236274                        0.00009674     
41       o236282                        0.00009674     
42       o236290                        0.00009674     
43       o236314                        0.00009674     
44       o217709                        0.00009674     
45       o242501                        0.00009670     
46       o230068                        0.00009669     
47       o230116                        0.00009669     
48       o236266                        0.00009667     
49       o217669                        0.00009665     
50       o217717                        0.00009661     
51       o223929                        0.00009660     
52       o236298                        0.00009655     
53       o236306                        0.00009655     
54       o236322                        0.00009655     
55       o223873                        0.00009647     
56       o223881                        0.00009647     
57       o242477                        0.00009642     
58       o242493                        0.00009642     
59       o242517                        0.00009642     
60       o230076                        0.00009638     
61       o230084                        0.00009638     
62       o230092                        0.00009638     
63       o217661                        0.00009637     
64       o217685                        0.00009637     
65       o242509                        0.00009629     
66       o242525                        0.00009629     
67       o230100                        0.00009625     
68       o230108                        0.00009625     
69       o230124                        0.00009625     
70       o217693                        0.00009625     
71       o217701                        0.00009625     
72       o48742                         0.00009624     
73       o48744                         0.00009622     
74       o48746                         0.00009611     
75       o48748                         0.00009600     
76       o99340                         0.00009205     
77       o217673                        0.00009187     
78       o217681                        0.00009093     
79       o223893                        0.00009093     
80       o236286                        0.00009093     
81       o242489                        0.00009093     
82       o230088                        0.00009093     
83       o117915                        0.00009089     
84       o236294                        0.00009042     
